,Lyrics
0,"I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
And I was high enough


Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough


No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own


Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?


It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me


I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up


I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us


Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?


It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me"
1,"It never fades away, it's staying
Your kiss like broken glass on my skin
And all the greatest loves end in violence
It's tearing up my voice, left in silence


Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
'Cause baby, I got these scars, reminding me to forget
Reminding me, I got these scars, to forget your love
Keep reminding me, ooh, to forget your love


You left your burn 

You left your mark, reminding me to forget
You left your burn 

You left your mark 

You left your burn 

You left your mark, reminding me to forget
You left your burn 

You left your mark 



There's no room in war for feelings
Hurt me to the core, still healing
And I know you're no good for me
So I tried to forget the memories


Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
Baby, I got these scars, reminding me to forget


You left your burn 

You left your mark, reminding me to forget
You left your burn 

You left your mark 



Remember I told you
To save it, it's over
And I'll be alright
So hurt me as much as you like
I need you to let go
I got these mementos
And I'll be alright
Yeah


Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
Baby, I got these scars, reminding me to forget


You left your burn 

You left your mark, reminding me to forget
You left your burn 

You left your mark, reminding me to forget"
2,"Darling, darling, oh, turn the lights back on now
We're watching, watching as the credits all roll down
And crying, crying, you know we're playing to a full house, house


No heroes, villains, one to blame
While wilted roses fill the stage
And the thrill, the thrill is gone
Our debut was a masterpiece
But in the end, for you and me
Oh, the show, it can't go on


We used to have it all, but now's our curtain call
So hold for the applause, oh
And wave out to the crowd, and take our final bow
Oh, it's our time to go, but at least we stole the show
Least we stole the show
Least we stole the show
Least we stole the show
Least we stole the show


Least we stole the show


Darling, darling, you know that we are sold out
And kisses fading, but the band plays on now
So we're crying, crying, so let the velvet roll down, down


No heroes, villains, one to blame
While wilted roses fill the stage
And the thrill, the thrill is gone
Our debut was a masterpiece
Our lines, we read so perfectly
But the show, it can't go on


We used to have it all, but now's our curtain call
So hold for the applause, oh
And wave out to the crowd, and take our final bow
Oh it's our time to go, but at least we stole the show 

At least we stole the show
 



At least we stole the show
Stole the show
Stole the show
Stole the show
At least we stole the show
Stole the show
We stole the show
At least we stole the show"
3,"You're saying it's hopeless, that I should hope less
Heaven can help us, well maybe she might
You say it's beyond us, what is beyond us?
Let's see and decide
We've been meteoric, even before this
Burns half as long when it's twice as bright
So if it's beyond us, then it's beyond us
Let's see and decide


And I will still be here, stargazing
I'll still look up, look up
Look up for love
I will still be here, stargazing
I'll still look up, look up
Look up for love


Don't you, give up, for me
Don't fall, don't give up, for love
Don't you, give up, for me
Don't fall, don't give up, for love
Don't you, give up, for me
Don't fall, don't give up, for love
Don't you, give up, for me
Don't fall, don't give up, for love


I'm trying to save us, you don't wanna save us
You blame human nature, and say it's unkind
Let's make up our own minds, we've got our whole lives
Let's see and decide, decide


And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
That's how I find the light


Don't you, give up, for me
Don't fall, don't give up, for love
That's how I find the light
Don't you, give up, for me 

Don't fall, don't give up, for love
Don't you, give up, for me
Don't fall, don't give up, for love
Don't you, give up, for me
Don't fall, don't give up, for love
That's how I find the light
Don't you, give up, for me
Don't fall, don't give up, for love
That's how I find the light
Don't you, give up, for me 

Don't fall, don't give up, for love"
4,"We were lovers for the first time
Running all the red lights
The middle finger was our peace sign, yeah
We were sipping on emotions
Smoking and inhaling every moment
It was reckless and we owned it, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

""Re: Stacks"" on the playback
I'd do it all again
 



We were lovers on a wild ride
Speeding for the finish line
Come until the end of our time, yeah
Started off as a wildfire
Burning down the bridges to our empire
Our love was something they could admire, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

Re: Stacks on the playback
I'd do it all again
 



Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack..."
5,"The stranger things
A life, a life of stranger things 

The stranger things 

'Cause that's just who we are


We used to run around this ghost town
Always thinking out loud
How we gonna get out?
I remember
We dream of places that we could go
Castles with the strange glow
People that we don't know
I remember


We left a life
That's ordinary from the start
We look for stranger things
'Cause that's just who we are
Found me the edge of something beautiful and loud
Like I'm picturing now


Castles glitter under Spanish skies
But I'm just looking out for you tonight
Snow white mountains in a foreign state
Tell me someday we'll get there
Someday
Someday
Oh-oh
Oh-oh


I see your Technicolor shadow
Underneath your window
Just in case you don't know
I can see it
You cast an unfamiliar day glow
Different than what I know
Shining like a halo
I can feel it


We turned our back on ordinary from the start
We looked for stranger things
'Cause that's just who we are
Found me the edge of something beautiful and loud
Show me the sky falling down


Castles glitter under Spanish skies
But I'm just looking out for you tonight
Snow white mountains in an ancient place
Tell me someday we'll get there
Someday
Someday
Oh oh
Oh oh


The stranger things
A life, a life of stranger things 

The stranger things 

'Cause that's just who we are
A stranger things 

The stranger things
A life, a life of stranger things 

For stranger things 

'Cause that's just who we are
The stranger things
A life, a life of stranger things 

For stranger things 

'Cause that's just who we are
The stranger things
A life, a life of stranger things 

For stranger things 

'Cause that's just who we are


The stranger things
A life, a life of stranger things 

For stranger things 

'Cause that's just who we are"
6,"I know I've given up
A hundred times before
But I know a miracle
Is not something to ignore


You take me for a fool
You take me for a fool


I never knew anybody til' I knew you
I never knew anybody til' I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours
I never knew anybody til' I knew you
I never knew anybody til' I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours


Are you the only one
Lost in the millions?
Or are you my grain of sand
That's blowing in the wind?


I never knew anybody til' I knew you
I never knew anybody til' I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours
I never knew anybody til' I knew you
I never knew anybody til' I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours


I was born to be yours
I was born, born, born, born
I was born to be yours
I was born, born, born
I was born to be yours
I was born, born, born, born
I was born to be yours


Oh-woah


Oh-woah 

Born to be yours
I was born, born, born, born
I was born to be yours
I was born, born, born 

I was born to be yours
I was born, born, born, born 

I was born to be yours
I was born"
7,"All of my friends are settling down
They're only kids but they're married now
Let's follow the lights
Follow the crowd
Baby we gotta get out
Let's get outta this town


I want an ocean view, somewhere
As long as I'm next to you, I don't care
I don't wanna live my life in circles
I just wanna find an empty road
Let's get away from here, let's go


All of my friends are settling down
They're only kids but they're married now
Let's follow the lights
Follow the crowd
Baby we gotta get out
Let's get outta this town


Nothing ever changes here, I know
Another day, another year, same old
I don't wanna live my life in circles
I just wanna find an empty road
Let's get away from here, let's go


All of my friends are settling down
They're only kids but they're married now
Let's follow the lights
Follow the crowd
Baby we gotta get out
Let's get outta this town


Let's get outta this town
Let's get outta this town
Let's get outta this town
Let's get outta this town
Let's get outta this town
Let's get outta this town"
8,"We don't wanna believe it, that it’s all gone
It's just a matter of minutes before the sun goes down
We're afraid to admit it, but I know you know, know that
We should’ve known better, but kept on trying
And it's time that we see it, the fire's dying out
Can't believe that I say this, we're out of chances now
And I just want you to know that


You and me, it was good, but it wasn't right
And it'll be hard, but I know I will make it out
Step by step, I'll move on and get on with life
So I let go, and I hope you’ll be happy now
You and me, it was good, but it wasn’t right
And it'll be hard, but I know I will make it out
Step by step, I’ll move on and get on with life
So I let go, and I hope you'll be happy now


I hope you'll be happy now
Yeah, I hope you'll be happy now
I hope you’ll be happy now
Yeah, I hope you'll be happy now
Yeah, I hope you'll be happy now
I hope you'll be happy now


I thought we would make it if I just held on
But it's really crazy how love could fade so fast
We said ""forever,"" but now we're in the past
And I just want you to know that


You and me, it was good, but it wasn't right
And it'll be hard, but I know I will make it out
Step by step, I'll move on and get on with life
So I let go, and I hope you'll be happy now
You and me, it was good, but it wasn't right
And it'll be hard, but I know I will make it out
Step by step, I'll move on and get on with life
So I let go, and I hope you'll be happy now


Yeah, I hope you'll be happy now
I hope you'll be happy now
I hope you'll be happy now
I hope you'll be happy now"
9,"I'm a flame, you're a fire
I'm the dark in need of light
When we touch, you inspire
Feel it changin' me tonight
Take me up, take me higher
There's a world not far from here
We can dance in desire
Or we can burn in love tonight


Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world


Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world
We light up the world


We light up the world
Whoa, oh
World
Whoa, oh
Firestone


I'm from X
You're from Y
Perfect strangers in the night
Here we are, come together
To the world we'll testify


Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world


Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world


We light up the world
We light up the word
Whoa, oh
World
Whoa, oh
Firestone"
